capital_change,event_type,talent_value
-1.0,unlucky,0.6411188642683668
0.0,lucky,0.5824646917264583
0.0,lucky,0.5802321183050977
20.0,lucky,0.5759336239622259
5.0,lucky,0.6210129517207666
0.0,unlucky,0.5547437488322823
0.0,unlucky,0.41654803051586975
0.0,unlucky,0.5711583391471966
0.0,unlucky,0.6953709537466723
-5.0,unlucky,0.6713836767779474
40.0,lucky,0.479814275084664
320.0,lucky,0.8520268037038545
2.0,lucky,0.5909577296435249
-2.0,unlucky,0.7454724966284296
-2.0,unlucky,0.5977738146335146
0.0,unlucky,0.6953709537466723
-20.0,unlucky,0.6585440837695061
-8.0,unlucky,0.631412877224479
-40.0,unlucky,0.8485314868663625
1.0,lucky,0.5673631684127454
10.0,lucky,0.6210129517207666
40.0,lucky,0.5759336239622259
320.0,lucky,0.6501588807062013
-2.5,unlucky,0.5233527501082712
-2.5,unlucky,0.6541689673761464
-0.5,unlucky,0.5096516406866523
0.0,unlucky,0.5096516406866523
-8.0,unlucky,0.7257039242348693
-5.0,unlucky,0.5150295229802144
-2.5,unlucky,0.4993973804420819
-20.0,unlucky,0.5034522547131055
0.0,lucky,0.41654803051586975
0.0,unlucky,0.5547437488322823
-1.0,unlucky,0.5977738146335146
-2.0,unlucky,0.6023450665177799
-5.0,unlucky,0.5704302008265013
0.0,lucky,0.5096516406866523
5.0,lucky,0.6360776895730251
-1.0,unlucky,0.667551106315344
-1.0,unlucky,0.8266312320241544
-10.0,unlucky,0.7440011034031011
40.0,lucky,0.5508093538413341
1.0,lucky,0.5977738146335146
4.0,lucky,0.57906497864431
0.0,unlucky,0.6025213556044619
-4.0,unlucky,0.7102825816851016
-1.0,unlucky,0.5748660847836345
-2.5,unlucky,0.6722740085342693
-2.5,unlucky,0.46890952113691325
2.0,lucky,0.6541689673761464
20.0,lucky,0.6616358516700255
1.0,lucky,0.5748660847836345
20.0,lucky,0.6242718002251384
-1.0,unlucky,0.639385719036854
-2.5,unlucky,0.42266083273996763
-40.0,unlucky,0.479814275084664
-320.0,unlucky,0.8520268037038545
0.0,unlucky,0.6162757738961784
-1.0,unlucky,0.7454724966284296
-4.0,unlucky,0.7257039242348693
0.0,unlucky,0.6374105807688341
40.0,lucky,0.6242718002251384
2.0,lucky,0.42266083273996763
20.0,lucky,0.6585440837695061
320.0,lucky,0.8520268037038545
5.0,lucky,0.65923668037005
4.0,lucky,0.6625901990488554
-10.0,unlucky,0.7744770652611116
-20.0,unlucky,0.479814275084664
-320.0,unlucky,0.8520268037038545
-8.0,unlucky,0.5263139882962876
-20.0,unlucky,0.4627655309956722
0.0,unlucky,0.6644145576379148
-5.0,unlucky,0.5729261225476586
-5.0,unlucky,0.569147868053149
0.0,lucky,0.6644145576379148
0.0,lucky,0.5802321183050977
10.0,lucky,0.5085735257047825
0.0,lucky,0.4991061458518361
0.0,lucky,0.5547437488322823
-5.0,unlucky,0.5572879678953404
0.0,unlucky,0.6953709537466723
0.0,unlucky,0.6539973385908122
0.0,unlucky,0.6046211343336884
-2.5,unlucky,0.5572879678953404
-2.0,unlucky,0.7257039242348693
-20.0,unlucky,0.8485314868663625
-2.5,unlucky,0.569147868053149
2.0,lucky,0.6023450665177799
4.0,lucky,0.5763618701439255
-5.0,unlucky,0.65923668037005
-0.5,unlucky,0.5475070904299238
-2.5,unlucky,0.6466857879738467
-5.0,unlucky,0.47423400918219566
0.0,lucky,0.5475070904299238
20.0,lucky,0.8485314868663625
0.0,lucky,0.6953709537466723
0.0,unlucky,0.5096516406866523
-0.5,unlucky,0.639385719036854
-2.0,unlucky,0.42266083273996763
0.0,unlucky,0.5475070904299238
2.0,lucky,0.46890952113691325
2.0,lucky,0.5236946143968746
8.0,lucky,0.6625901990488554
4.0,lucky,0.5433855133965997
0.0,lucky,0.5475070904299238
4.0,lucky,0.6299193671496478
0.0,unlucky,0.6644145576379148
-5.0,unlucky,0.7034428049266636
-1.0,unlucky,0.6466857879738467
-2.5,unlucky,0.47423400918219566
0.0,unlucky,0.6953709537466723
-4.0,unlucky,0.631412877224479
-20.0,unlucky,0.6616358516700255
-1.0,unlucky,0.6722740085342693
-10.0,unlucky,0.5085735257047825
8.0,lucky,0.5263139882962876
0.0,unlucky,0.5802321183050977
-20.0,unlucky,0.6585440837695061
-2.5,unlucky,0.7034428049266636
0.0,unlucky,0.5711583391471966
0.0,unlucky,0.5490988993577467
-5.0,unlucky,0.5085735257047825
5.0,lucky,0.4695942273268628
1.0,lucky,0.6722740085342693
10.0,lucky,0.4695942273268628
20.0,lucky,0.6585440837695061
2.0,lucky,0.47423400918219566
-0.5,unlucky,0.5308952716519388
0.0,unlucky,0.6162757738961784
0.0,unlucky,0.6025213556044619
-10.0,unlucky,0.5114738156629044
-10.0,unlucky,0.4695942273268628
-5.0,unlucky,0.7744770652611116
5.0,lucky,0.6990936675104242
2.0,lucky,0.5673631684127454
0.0,lucky,0.6644145576379148
0.0,unlucky,0.41654803051586975
-10.0,unlucky,0.6616358516700255
-5.0,unlucky,0.5114738156629044
-2.5,unlucky,0.5704302008265013
2.0,lucky,0.760334960225036
2.0,lucky,0.5655451092972921
0.0,lucky,0.5867158629553798
1.0,lucky,0.7454724966284296
-2.0,unlucky,0.5236946143968746
0.0,unlucky,0.6374105807688341
-10.0,unlucky,0.4074270607544652
-5.0,unlucky,0.6616358516700255
-20.0,unlucky,0.8485314868663625
5.0,lucky,0.5150295229802144
4.0,lucky,0.5909577296435249
2.0,lucky,0.3862652791750607
0.0,lucky,0.5490988993577467
5.0,lucky,0.611115379506361
1.0,lucky,0.5565605394941247
2.0,lucky,0.6722740085342693
0.0,unlucky,0.6539973385908122
0.0,unlucky,0.6046211343336884
-10.0,unlucky,0.4627655309956722
-1.0,unlucky,0.5748660847836345
0.0,unlucky,0.5711583391471966
0.0,unlucky,0.6162757738961784
-2.5,unlucky,0.6601129574901129
0.0,lucky,0.5490988993577467
40.0,lucky,0.8401752709670891
20.0,lucky,0.555405631802891
80.0,lucky,0.8401752709670891
40.0,lucky,0.555405631802891
0.0,unlucky,0.5096516406866523
0.0,unlucky,0.3899434058060488
0.0,unlucky,0.6953709537466723
-2.5,unlucky,0.6616358516700255
0.0,unlucky,0.6162757738961784
16.0,lucky,0.5263139882962876
-1.0,unlucky,0.6259991324517621
-2.0,unlucky,0.5606892418584912
-2.5,unlucky,0.5114738156629044
-5.0,unlucky,0.5150295229802144
-2.0,unlucky,0.5673631684127454
5.0,lucky,0.5729261225476586
10.0,lucky,0.6541098895495927
2.0,lucky,0.5977738146335146
4.0,lucky,0.6023450665177799
32.0,lucky,0.5263139882962876
-1.0,unlucky,0.5572879678953404
-1.0,unlucky,0.5233527501082712
-2.0,unlucky,0.6541689673761464
0.0,unlucky,0.5711583391471966
-32.0,unlucky,0.5263139882962876
0.0,unlucky,0.4575391636881444
-1.0,unlucky,0.5833673627233299
1.0,lucky,0.6411188642683668
0.0,lucky,0.5490988993577467
2.0,lucky,0.7257039242348693
0.0,unlucky,0.639385719036854
-1.0,unlucky,0.42266083273996763
-10.0,unlucky,0.479814275084664
-160.0,unlucky,0.8520268037038545
10.0,lucky,0.4074270607544652
-1.0,unlucky,0.4993973804420819
-10.0,unlucky,0.5034522547131055
-2.0,unlucky,0.631412877224479
-1.0,unlucky,0.5236946143968746
-80.0,unlucky,0.8401752709670891
-40.0,unlucky,0.555405631802891
-4.0,unlucky,0.5763618701439255
10.0,lucky,0.7440011034031011
0.0,lucky,0.6539973385908122
32.0,lucky,0.5263139882962876
1.0,lucky,0.5233527501082712
2.0,lucky,0.6541689673761464
4.0,lucky,0.6541689673761464
0.0,unlucky,0.6374105807688341
-40.0,unlucky,0.8401752709670891
-20.0,unlucky,0.555405631802891
